"Rating","Reviews","Size","Installs","Price"
4.1,159,19,10000,0
3.9,967,14,500000,0
4.7,87510,8.7,5000000,0
4.3,967,2.8,100000,0
3.8,178,19,50000,0
4.1,36815,29,1000000,0
4.7,121,3.1,10000,0
4.4,8788,12,1000000,0
4.2,44829,20,10000000,0
4.6,4326,21,100000,0
4.4,1518,37,100000,0
3.2,55,2.7,5000,0
4.7,3632,5.5,500000,0
4.3,194216,39,5000000,0
4.6,224399,31,10000000,0
4,450,14,100000,0
4.1,654,12,100000,0
4.7,7699,4.2,500000,0
4.17581188356988,61,7,100000,0
4.7,118,23,50000,0
4.8,192,6,10000,0
4.1,203,6.1,100000,0
3.9,136,4.6,10000,0
4.2,1120,9.2,100000,0
4.1,227,5.2,50000,0
4.5,5035,11,100000,0
4.2,1015,11,100000,0
4.7,353,4.2,10000,0
3.8,564,9.2,100000,0
4.7,8145,24,500000,0
4.1,36639,20.53,5000000,0
4,591,9.4,500000,0
4.2,117,15,10000,0
4.5,176,10,100000,0
4.4,295221,20.53,10000000,0
3.8,2206,1.2,100000,0
4.2,26,12,10000,0
4.7,174531,24,10000000,0
4.3,845,7.9,100000,0
4.2,367,25,100000,0
4,1598,56,1000000,0
3.8,284,57,100000,0
4.6,17057,20.53,1000000,0
3.9,129,35,100000,0
4.3,542,33,100000,0
4.9,10479,33,100000,0
4.4,805,5.6,50000,0
4.2,129,54,100000,0
3.9,3971,3.6,100000,0
4.6,534,5.7,10000,0
4.9,7774,17,100000,0
4.3,38846,8.6,1000000,0
4.6,2431,2.4,100000,0
4.9,6090,27,100000,0
3.9,295,2.7,10000,0
4.3,40211,20.53,5000000,0
3.9,356,20.53,100000,0
4.2,52530,7,5000000,0
4.8,116986,35,5000000,0
3.6,1379,16,500000,0
4.2,271920,16,10000000,0
4.8,736,20.53,100000,0
4.8,7021,17,500000,0
4.6,197,3.4,50000,0
4.5,737,8.9,100000,0
4.3,3574,3.9,1000000,0
4.5,994,2.9,100000,0
4.9,197136,38,1000000,0
3.9,142,32,50000,0
4.4,15168,37,1000000,0
4,2155,15,500000,0
4.3,138,5.4,100000,0
3.7,5414,18,1000000,0
